,vip,title,year,kms,city,province,transmission,price,age,age_sq,year_norm,year_norm_sq,kms_norm,kms_norm_sq,10th Quantile,50th Quantile,90th Quantile,cheap,expensive
541,29045642,2021 Subaru Outback Touring,2021.0,31249.0,Brossard,QC,Automatic,36994.0,2.0,4.0,0.23,0.0529,31.249,976.5000009999999,34695.77375077741,40476.94772061877,44492.45881077406,False,False
542,28975840,2020 Subaru Outback 2.4L Limited XT Turbo,2020.0,32908.0,Guelph,ON,Automatic,39500.0,3.0,9.0,0.22,0.0484,32.908,1082.9364640000001,31453.01719897403,37500.272960931965,41834.8139480611,False,False
543,28913625,2017 Subaru Outback 2.5i,2017.0,130659.0,Boucherville,QC,Automatic,19990.0,6.0,36.0,0.19,0.0361,130.659,17071.774280999998,19947.6733389374,23093.08693898366,27152.05496045722,False,False
544,28751193,2021 Subaru Outback 2.4L Limited XT Turbo,2021.0,45750.0,Guelph,ON,Automatic,41000.0,2.0,4.0,0.23,0.0529,45.75,2093.0625,34265.48314739639,39313.324178022995,43155.781277770424,False,False
545,28706511,2019 Subaru Outback Limited NAVI+CUIR+TOIT.OUVRANT,2019.0,36648.0,Boisbriand,QC,Automatic,30865.0,4.0,16.0,0.21,0.04409999999999999,36.648,1343.0759040000003,28349.104931494636,34532.8657814423,39123.704646532795,False,False
546,28634429,2012 Subaru Outback,2012.0,234597.0,St. Stephen,NB,Automatic,8000.0,11.0,121.0,0.14,0.019600000000000003,234.597,55035.752409,6109.011812921424,9037.492868218404,12773.263351064823,False,False
547,28343812,2019 Subaru Outback 3.6 Touring + Apple Carplay + Toit ouvrant,2019.0,42603.0,Brossard,QC,Automatic,32894.0,4.0,16.0,0.21,0.04409999999999999,42.603,1815.015609,28172.04464218497,34056.43521497349,38576.36701422131,False,False
548,29015332,2018 Subaru Outback Limited,2018.0,162748.0,Hamilton,ON,Automatic,23555.0,5.0,25.0,0.2,0.04000000000000001,162.748,26486.911503999996,21403.682367867103,23566.26412776781,27099.26282973271,False,False
549,29004762,2018 Subaru Outback Touring,2018.0,103809.0,Charlottetown,PE,Automatic,25995.0,5.0,25.0,0.2,0.04000000000000001,103.809,10776.308481,23449.65121833648,27108.93455100471,31212.414849983164,False,False
550,27878334,2011 Subaru Outback 3.6R Premium,2011.0,223000.0,Madoc,ON,Automatic,8995.0,12.0,144.0,0.13,0.016900000000000002,223.0,49729.0,5180.178972537768,8250.46826220968,12070.839001368324,False,False
551,29038361,2022 Subaru Outback Premier,2022.0,23716.0,Waterloo,ON,Automatic,46998.0,1.0,1.0,0.24,0.0576,23.716,562.448656,38309.4041317849,44117.297108718805,47847.7793331102,False,False
552,29040258,2020 Subaru Outback Premier,2020.0,38010.0,Bolton,ON,Automatic,39990.0,3.0,9.0,0.22,0.0484,38.01,1444.7600999999997,31302.44962904528,37087.57036029064,41360.85537318442,False,False
553,19832735,2013 Subaru Outback Limited touring,2013.0,180000.0,Ville Saint-Laurent,QC,Automatic,11900.0,10.0,100.0,0.15,0.0225,180.0,32400.0,9809.893667174503,12886.245767864006,17017.807623362525,False,False
554,24866558,2013 Subaru Outback 3.6R LIMITED PKG AWD + CUIR TOIT + GPS NAVI CAMERA,2013.0,157886.0,Lévis,QC,Automatic,14695.0,10.0,100.0,0.15,0.0225,157.886,24927.988996,10619.484909064326,14047.89521947442,18374.740173274397,False,False
555,29030516,2016 Subaru Outback 2.5i Limited,2016.0,161243.0,Chicoutimi,QC,Automatic,16995.0,7.0,49.0,0.18,0.0324,161.243,25999.305049,16472.977025033528,19203.621118531562,23163.583626579806,False,False
556,29031189,2015 Subaru Outback 2.5i (CVT),2015.0,99057.0,Winnipeg,MB,CVT,18995.0,8.0,64.0,0.17,0.028900000000000006,99.057,9812.289249000001,16429.321423164954,21026.258470474342,25742.741811697946,False,False
557,29032501,2015 Subaru Outback Limited 2.5i / Toit Ouvrant / Navigation / Camera,2015.0,120713.0,Saint-Bruno-de-Montarville,QC,Automatic,18491.0,8.0,64.0,0.17,0.028900000000000006,120.713,14571.628368999998,15704.510090674019,19616.937058245683,24111.755921858407,False,False
558,27908733,2015 Subaru Outback 3.6 limited/eye sight/,2015.0,156389.0,Calgary,AB,Automatic,24900.0,8.0,64.0,0.17,0.028900000000000006,156.389,24457.519321000003,14456.074515445776,17512.5097405127,21666.488783681256,False,True
559,27316906,2015 Subaru Outback 3.6 R Limited,2015.0,142000.0,Seguin,ON,Automatic,18995.0,8.0,64.0,0.17,0.028900000000000006,142.0,20164.0,14967.743178823614,18328.738100891096,22616.54279713324,False,False
560,28168033,2009 Subaru Outback Limited,2009.0,305483.0,Gatineau,QC,Automatic,4400.0,14.0,196.0,0.11,0.0121,305.483,93319.863289,-436.8819791731221,3621.070976216928,6784.0006522319745,False,False
561,28775315,2023 Subaru Outback Onyx,2023.0,6500.0,Rockingham,NS,Automatic,40000.0,0.0,0.0,0.25,0.0625,6.5,42.25,42393.778342191414,48779.530479005276,52310.32624282159,True,False
562,29008183,2023 Subaru Outback Wilderness,2023.0,0.0,Edmonton,AB,Automatic,47820.0,0.0,0.0,0.25,0.0625,0.0,0.0,42574.46968808849,49349.798575263994,52963.61561525187,False,False
563,28985340,2018 Subaru Outback 3.6R Touring,2018.0,116451.0,Mississauga,ON,Automatic,27999.0,5.0,25.0,0.2,0.04000000000000001,116.451,13560.835400999998,23026.367519726013,26286.88105973145,30261.035229913894,False,False
564,29004571,2023 Subaru Outback Wilderness,2023.0,0.0,Edmonton,AB,Automatic,48602.0,0.0,0.0,0.25,0.0625,0.0,0.0,42574.46968808849,49349.798575263994,52963.61561525187,False,False
565,29004934,2017 Subaru Outback 3.6R Touring,2017.0,162126.0,Moncton,NB,Automatic,22999.0,6.0,36.0,0.19,0.0361,162.126,26284.839876000002,18833.404688088573,21289.361478483286,25053.571471835774,False,False
566,27851857,2016 Subaru Outback 2.5i 4dr SUV AWD - V5246,2016.0,184620.0,Maple,ON,Automatic,16888.0,7.0,49.0,0.18,0.0324,184.62,34084.5444,15612.189209222044,17995.436020135523,21751.180314813166,False,False
567,27549723,2011 Subaru Outback ***CERTIFIED*** 2.5I PREMIUM | NO ACCIDENTS,2011.0,238342.0,Orillia,ON,Automatic,7995.0,12.0,144.0,0.13,0.016900000000000002,238.342,56806.90896400001,4568.148704358238,7645.760612956794,11353.179483399246,False,False
568,28975403,2020 Subaru Outback Premier XT,2020.0,41500.0,Thunder Bay,ON,Automatic,42564.0,3.0,9.0,0.22,0.0484,41.5,1722.25,31198.6572642058,36808.4484698143,41040.18828827734,False,True
569,27169658,2012 Subaru Outback 3.6R Premium,2012.0,191000.0,Toronto,ON,,10995.0,11.0,121.0,0.14,0.019600000000000003,191.0,36481.0,7806.768158139414,10921.424250359174,14996.703900740504,False,False
570,29016171,2019 Subaru Outback 2.5i Touring Eyesight CVT,2019.0,101535.0,Edmonton,AB,CVT,33999.0,4.0,16.0,0.21,0.04409999999999999,101.535,10309.356225,26318.142485345972,29747.792107421104,33611.49650679623,False,True
571,23527146,2011 Subaru Outback,2011.0,219000.0,Unionville,ON,Automatic,5500.0,12.0,144.0,0.13,0.016900000000000002,219.0,47961.0,5337.691711878688,8416.347860632202,12267.087933796414,False,False
572,27225735,2023 Subaru Outback Wilderness,2023.0,0.0,Port Coquitlam,BC,Automatic,45710.0,0.0,0.0,0.25,0.0625,0.0,0.0,42574.46968808849,49349.798575263994,52963.61561525187,False,False
573,28930724,2018 Subaru Outback 3.6R Tourisme,2018.0,58935.0,Beauport,QC,Automatic,29995.0,5.0,25.0,0.2,0.04000000000000001,58.935,3473.334225,24883.512057896933,30301.072470665993,34894.308423782044,False,False
574,27625501,"2008 Subaru Outback 2.5i,Awd,Pwr Seats,Cruise Ctrl,Alloy*Certified*",2008.0,195000.0,Mississauga,ON,Automatic,8488.0,15.0,225.0,0.1,0.010000000000000002,195.0,38025.0,3296.4900525017,6798.504419716643,10608.645365589182,False,False
575,21605985,2013 Subaru Outback,2013.0,197000.0,-,ON,,7500.0,10.0,100.0,0.15,0.0225,197.0,38809.0,9169.845387066118,12063.872084672163,16053.22055438959,True,False
576,28110989,2013 Subaru Outback 2.5i Touring,2013.0,173000.0,Moncton,NB,Automatic,12900.0,10.0,100.0,0.15,0.0225,173.0,29929.0,10068.976004385462,13242.717054157969,17434.835683286947,False,False
577,28808628,"2017 Subaru Outback 5dr Wgn CVT 3.6R Limited w-Tech Pkg, Leather, Navi",2017.0,76000.0,Winnipeg,MB,CVT,29888.0,6.0,36.0,0.19,0.0361,76.0,5776.0,21758.01764450779,26726.294615450886,31353.260358446125,False,False
578,28970871,2021 Subaru Outback 2.5i Limited AWD w/Eyesite Pkg. X Mode & Bluetooth,2021.0,32400.0,Calgary,AB,Automatic,43985.0,2.0,4.0,0.23,0.0529,32.4,1049.76,34662.02849769205,40382.95412456172,44384.546482425794,False,False
579,28897230,2018 Subaru Outback 2.5i Premium,2018.0,73438.0,Anjou,QC,Automatic,26995.0,5.0,25.0,0.2,0.04000000000000001,73.438,5393.139844,24431.80875909484,29222.601497898064,33652.31214979435,False,False
580,26891120,2011 Subaru Outback 2.5i Limited Pwr Moon LEATHER HEATED SEATS,2011.0,227443.0,Scarborough,ON,Automatic,8888.0,12.0,144.0,0.13,0.016900000000000002,227.443,51730.318249,5004.224283545991,8070.202466564806,11857.286667394903,False,False
581,28941527,2020 Subaru Outback Premier,2020.0,43048.0,Cornwall,ON,Automatic,39795.0,3.0,9.0,0.22,0.0484,43.048,1853.1303040000003,31152.41248546,36685.47159335293,40898.876681018846,False,False
582,28053654,2010 Subaru Outback 3.6R w/Limited Pkg 4WD +toît+cuir+bancs chauffants,2010.0,203500.0,Mirabel,QC,Automatic,7977.0,13.0,169.0,0.12,0.0144,203.5,41412.25,4750.126486362351,8019.453545892626,11952.353647818258,False,False
583,27970080,2019 Subaru Outback,2019.0,120056.0,Cayuga,ON,Automatic,24995.0,4.0,16.0,0.21,0.04409999999999999,120.056,14413.443136,25697.360672371553,28546.071931979714,32220.60196786296,True,False
