,vip,title,year,kms,city,province,transmission,price,age,age_sq,year_norm,year_norm_sq,kms_norm,kms_norm_sq,10th Quantile,50th Quantile,90th Quantile,cheap,expensive
68,29427622,2016 Mitsubishi RVR SE Limited Edition,2016.0,155632.0,Saskatoon,SK,Automatic,17995.0,7.0,49.0,0.05,0.0025000000000000005,155.632,24221.319424,13285.87970091641,16529.51430790514,19015.732724432557,False,False
69,29401720,2017 Mitsubishi RVR SE,2017.0,189435.0,Regina,SK,Automatic,17983.0,6.0,36.0,0.06,0.0036,189.435,35885.619225,13519.84373064328,16603.647702604118,19528.83130324679,False,False
70,28916245,2021 Mitsubishi RVR AWD ES,2021.0,74188.0,Edmonton,AB,Automatic,29999.0,2.0,4.0,0.1,0.010000000000000002,74.188,5503.859344,24996.245612649203,27727.746680301963,31616.202922674514,False,False
71,28726180,"2020 Mitsubishi RVR ES - AWD, Heated Seats, Keyless Entry, Bluetooth",2020.0,80234.0,Saskatoon,SK,Automatic,28995.0,3.0,9.0,0.09,0.0081,80.234,6437.494755999999,22714.01354053265,25860.067215640265,29275.585408555547,False,False
72,29362220,2013 Mitsubishi RVR AWD 4dr CVT SE,2013.0,170313.0,Toronto,ON,CVT,11800.0,10.0,100.0,0.02,0.0004,170.313,29006.517968999997,7971.708854161843,11133.24447212421,13841.40439443781,False,False
73,29408071,2017 Mitsubishi RVR 2.4L GT 4WD,2017.0,40000.0,London,ON,Automatic,22500.0,6.0,36.0,0.06,0.0036,40.0,1600.0,16234.960792023174,21978.810074261753,24938.050577076305,False,False
74,29374112,2013 Mitsubishi RVR GT / 1 Owner,2013.0,190553.0,CALGARY,AB,Automatic,10900.0,10.0,100.0,0.02,0.0004,190.553,36310.445809,6952.286592956363,10181.900419027916,13107.245607294899,False,False
75,29013209,2011 Mitsubishi RVR 4WD 4dr SE(GARANTIE 1 AN INCL;US),2011.0,198000.0,Saint-Jérôme,QC,Automatic,7995.0,12.0,144.0,0.0,0.0,198.0,39204.0,3990.398192457127,6736.050860962358,10221.152067093863,False,False
76,29159436,2012 Mitsubishi RVR SE aut tout equipe etat impeccable doccasion,2012.0,133118.0,Montreal,QC,Automatic,10900.0,11.0,121.0,0.01,0.0001,133.118,17720.401923999998,7993.882717803288,11154.170981722535,13833.53462626586,False,False
77,29382662,2015 Mitsubishi RVR Sport,2015.0,149000.0,Lower Sackville,NS,Automatic,14990.0,8.0,64.0,0.04,0.0016,149.0,22201.0,11842.321131565652,15209.314833879584,17612.93739775837,False,False
78,29387398,2023 Mitsubishi RVR ES,2023.0,72.0,Oshawa,ON,Automatic,27990.0,0.0,0.0,0.12,0.0144,0.072,0.005183999999999999,28450.737390091712,32857.371959292854,38823.86505329664,True,False
79,29413194,2015 Mitsubishi RVR SE LIMITED EDITION AWD AUTO SIÈGE CAM 154 745 KM,2015.0,154745.0,Lévis,QC,Automatic,14995.0,8.0,64.0,0.04,0.0016,154.745,23946.015025,11633.35586284949,14966.82977261168,17404.737837248547,False,False
80,28614564,2014 Mitsubishi RVR SE BLUETOOTH SPORT ALLOYS HEAT SEATS...MINT,2014.0,175000.0,Toronto,ON,Automatic,13500.0,9.0,81.0,0.03,0.0009,175.0,30625.0,9200.82359239192,12484.612599101216,15123.026894724437,False,False
81,29167797,"2018 Mitsubishi RVR SE AWC, Heated Seats, Backup Camera, SXM",2018.0,62843.0,Winnipeg,MB,Automatic,23998.0,5.0,25.0,0.07,0.004900000000000001,62.843,3949.2426490000003,18453.460502943137,23035.584386023533,25947.526650441465,False,False
82,29096790,2013 Mitsubishi RVR SE,2013.0,125172.0,Winnipeg,MB,Automatic,14499.0,10.0,100.0,0.02,0.0004,125.172,15668.029584,9522.298130763163,13007.255657909187,15477.107833897655,False,False
83,29003856,2021 Mitsubishi RVR ES | 4WD | Cloth | Heated Seats,2021.0,78738.0,Mississauga,ON,Automatic,26450.0,2.0,4.0,0.1,0.010000000000000002,78.738,6199.672644,24998.855867824568,27593.306977612923,31451.701181122386,False,False
84,29211954,2017 Mitsubishi RVR 2WD 4dr,2017.0,116442.0,Woodbridge,ON,Manual,15990.0,6.0,36.0,0.06,0.0036,116.442,13558.739364,16212.971898630063,19697.60148423838,22174.19592452234,True,False
85,29266957,2013 Mitsubishi RVR AWD 4dr CVT SE | $0 DOWN | EVERYONE APPROVED!,2013.0,182113.0,Calgary,AB,CVT,12988.0,10.0,100.0,0.02,0.0004,182.113,33165.144769,7401.7793372965025,10586.967596785089,13413.443645317671,False,False
86,29335931,2015 Mitsubishi RVR GT,2015.0,96000.0,Brossard,QC,Automatic,15999.0,8.0,64.0,0.04,0.0016,96.0,9216.0,13007.38174038801,17184.971472434212,19531.89103542076,False,False
87,29316963,2015 Mitsubishi RVR SE,2015.0,164000.0,Fredericton,NB,Automatic,12900.0,8.0,64.0,0.04,0.0016,164.0,26896.0,11262.711057464567,14564.540601764871,17069.256340168762,False,False
88,29413182,2017 Mitsubishi RVR Other,2017.0,117153.0,Vancouver,BC,Automatic,20000.0,6.0,36.0,0.06,0.0036,117.153,13724.825409000001,16199.329003346647,19671.778587980407,22148.457599137204,False,False
89,29113628,2021 Mitsubishi RVR,2021.0,68480.0,London,ON,Automatic,29495.0,2.0,4.0,0.1,0.010000000000000002,68.48,4689.5104,24978.62701169072,27891.486694793424,31822.53791088913,False,False
90,29230175,2014 Mitsubishi RVR SE,2014.0,199960.0,Quebec,QC,Automatic,9990.0,9.0,81.0,0.03,0.0009,199.96,39984.0016,7857.491117517668,11281.882144785282,14217.460747336583,False,False
91,29015195,2011 Mitsubishi RVR SE /AUTOMATIQUE / AIR CLIMATISER / 5999$,2011.0,258000.0,Anjou,QC,Automatic,5999.0,12.0,144.0,0.0,0.0,258.0,66564.0,-429.9397129240533,3436.6871006525325,8041.540841523674,False,False
92,29328211,2019 Mitsubishi RVR ES+A/C+SEULEMENT 34500KM !,2019.0,34500.0,Mascouche,QC,Automatic,20495.0,4.0,16.0,0.08,0.0064,34.5,1190.25,20095.84961943426,25394.00433121768,28901.820281382166,False,False
93,29389434,2018 Mitsubishi RVR SE Limited Edition,2018.0,102185.0,Greenwood,NS,Automatic,21998.0,5.0,25.0,0.07,0.004900000000000001,102.185,10441.774225000001,18359.39291252903,21833.170267882626,24524.87578997485,False,False
94,29320658,2018 Mitsubishi RVR SE AWC,2018.0,58000.0,Blainville,QC,Automatic,22900.0,5.0,25.0,0.07,0.004900000000000001,58.0,3364.0,18412.618221567012,23165.637871793202,26122.533080902907,False,False
95,29192362,2015 Mitsubishi RVR SE - Bluetooth - Heated Seats,2015.0,215538.0,Edmonton,AB,Automatic,12000.0,8.0,64.0,0.04,0.0016,215.538,46456.629444000006,8431.166331613447,12061.307654064942,15199.287493649277,False,False
96,29348671,2023 Mitsubishi RVR SEL AWC,2023.0,0.0,Saint John,NB,,34937.0,0.0,0.0,0.12,0.0144,0.0,0.0,28447.999999999996,32858.57547706862,38826.46188927402,False,False
97,29004388,2018 Mitsubishi RVR SE - Htd Seats | B/U Cam | 4WD,2018.0,82419.0,Saskatoon,SK,Automatic,26998.0,5.0,25.0,0.07,0.004900000000000001,82.419,6792.8915609999995,18501.444835361006,22469.763280246116,25239.856919580183,False,True
98,28959318,"2021 Mitsubishi RVR SE 4WD - Under 100,000KMs - Heated Seats - Backup Camera - Day-Night Rearview Mirror",2021.0,79787.0,Redwater,AB,Automatic,27697.0,2.0,4.0,0.1,0.010000000000000002,79.787,6365.965369000001,24998.01882827074,27561.81892675354,31413.772049650663,False,False
99,29392034,2021 Mitsubishi RVR SE AWD *SIÈGES CHAUFFANTS* ALERTES CAMÉRA,2021.0,58468.0,Saint-Jérôme,QC,Automatic,26995.0,2.0,4.0,0.1,0.010000000000000002,58.468,3418.5070240000005,24909.16696284525,28165.479166473473,32184.365907746665,False,False
100,29359648,2015 Mitsubishi RVR 2 RM,2015.0,110000.0,NOTRE-DAME-DES PRAIRIES,QC,Manual,13990.0,8.0,64.0,0.04,0.0016,110.0,12100.0,12833.387002025054,16708.93506955987,19025.308612303004,False,False
101,29374403,2018 Mitsubishi RVR FWD,2018.0,94842.0,North York,ON,Automatic,19980.0,5.0,25.0,0.07,0.004900000000000001,94.842,8995.004964,18434.51196597492,22077.320187146608,24790.540742001278,False,False
102,29239688,2023 Mitsubishi RVR GT AWC,2023.0,0.0,Kentville,NS,Automatic,38098.0,0.0,0.0,0.12,0.0144,0.0,0.0,28447.999999999996,32858.57547706862,38826.46188927402,False,False
103,29351116,2019 Mitsubishi RVR SE,2019.0,67372.0,Calgary,AB,,19995.0,4.0,16.0,0.08,0.0064,67.372,4538.986384,20525.838658029337,24563.613302617552,27714.314364312602,True,False
104,29311861,2018 Mitsubishi RVR SE AWD SIEGES CHAUFFANT CAMÉRA RECUL 74400 KM,2018.0,74400.0,Lévis,QC,Automatic,18994.0,5.0,25.0,0.07,0.004900000000000001,74.4,5535.360000000001,18504.492141269176,22709.322836435134,25529.795462355287,False,False
105,29232324,2023 Mitsubishi RVR SEL,2023.0,0.0,Calgary,AB,Automatic,37218.0,0.0,0.0,0.12,0.0144,0.0,0.0,28447.999999999996,32858.57547706862,38826.46188927402,False,False
106,29086126,2020 Mitsubishi RVR SE AWC,2020.0,115850.0,Lethbridge,AB,Automatic,27888.0,3.0,9.0,0.09,0.0081,115.85,13421.222499999998,22357.888818078198,24678.67808701459,27987.04088167032,False,False
107,28961386,2023 Mitsubishi RVR ES FWD,2023.0,0.0,Kentville,NS,Automatic,26298.0,0.0,0.0,0.12,0.0144,0.0,0.0,28447.999999999996,32858.57547706862,38826.46188927402,True,False
108,28931558,2014 Mitsubishi RVR SE,2014.0,117481.0,North York,ON,Automatic,14990.0,9.0,81.0,0.03,0.0009,117.481,13801.785360999998,11134.267294238882,14857.986687341545,17207.15404157281,False,False
109,28999620,2020 Mitsubishi RVR Limited,2020.0,43500.0,Cambridge,ON,,26450.0,3.0,9.0,0.09,0.0081,43.5,1892.25,22430.242146907818,26855.4337653049,30603.064070771266,False,False
110,26297118,2020 Mitsubishi RVR SE AWD,2020.0,51317.0,Southey,SK,Automatic,26995.0,3.0,9.0,0.09,0.0081,51.317,2633.434489,22546.004230768387,26662.595406417724,30320.70518820914,False,False
111,29305595,2017 Mitsubishi RVR BLACK EDITION AWD,2017.0,180659.0,Granby,QC,Automatic,15994.0,6.0,36.0,0.06,0.0036,180.659,32637.674280999996,13981.70139666342,17022.945932411334,19847.20635928532,False,False
